financial_year,council,Estimated resident population (no.),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2018-2019,MOYNE SHIRE COUNCIL,"17,296",8500,5700,Weekly,2084.77,5900.0,Fortnightly,Yes,1937.56,3.2,44.5,59.3,"45,286","51,748",64.4,600.5,49.3,0.1,0.1,0.4,41.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,7.4,2.2,132,"6,439",2.5,"1,629",109,"4,704","4,775",2.9
2019-2020,MOYNE SHIRE COUNCIL,"17,296",8273,5896,Weekly,2139.0,5896.0,Fortnightly,Yes,2177.0,3.2,44.5,59.3,"45,286","51,748",64.4,600.5,49.3,0.1,0.1,0.4,41.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,7.4,2.2,132,"6,439",2.5,"1,629",109,"4,704","4,775",2.9
2020-2021,MOYNE SHIRE COUNCIL,"17,296",8238,6088,Weekly,2293.86,6088.0,Fortnightly,Yes,2464.98,3.2,44.5,59.3,"45,286","51,748",64.4,600.5,49.3,0.1,0.1,0.4,41.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,7.4,2.2,132,"6,439",2.5,"1,629",109,"4,704","4,775",2.9
2021-2022,MOYNE SHIRE COUNCIL,"17,296",4566,6270,Weekly,2360.5,6270.0,Fortnightly,Yes,2299.36,3.2,44.5,59.3,"45,286","51,748",64.4,600.5,49.3,0.1,0.1,0.4,41.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,7.4,2.2,132,"6,439",2.5,"1,629",109,"4,704","4,775",2.9
2022-2023,MOYNE SHIRE COUNCIL,"17,296",6429,6037,Weekly,2226.2,6037.0,Fortnightly,Yes,2437.14,3.2,44.5,59.3,"45,286","51,748",64.4,600.5,49.3,0.1,0.1,0.4,41.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,7.4,2.2,132,"6,439",2.5,"1,629",109,"4,704","4,775",2.9
2018-2019,MURRINDINDI SHIRE COUNCIL,"15,139",6668,6501,Weekly,2629.86,,,,,3.9,50.2,59.9,"47,170","55,385",69.3,434.6,37.5,0.2,0.1,0.8,50.1,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,11.3,3.7,243,"6,006",2.3,"1,825",154,"4,029","4,120",2.7
2019-2020,MURRINDINDI SHIRE COUNCIL,"15,139",6592,6592,Weekly,2734.0,,,,,3.9,50.2,59.9,"47,170","55,385",69.3,434.6,37.5,0.2,0.1,0.8,50.1,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,11.3,3.7,243,"6,006",2.3,"1,825",154,"4,029","4,120",2.7
2020-2021,MURRINDINDI SHIRE COUNCIL,"15,139",6767,6661,Weekly,2874.26,,,,,3.9,50.2,59.9,"47,170","55,385",69.3,434.6,37.5,0.2,0.1,0.8,50.1,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,11.3,3.7,243,"6,006",2.3,"1,825",154,"4,029","4,120",2.7
2021-2022,MURRINDINDI SHIRE COUNCIL,"15,139",6112,6842,Weekly,2935.0,,,,,3.9,50.2,59.9,"47,170","55,385",69.3,434.6,37.5,0.2,0.1,0.8,50.1,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,11.3,3.7,243,"6,006",2.3,"1,825",154,"4,029","4,120",2.7
2022-2023,MURRINDINDI SHIRE COUNCIL,"15,139",5187,7000,Weekly,2895.83,,,,,3.9,50.2,59.9,"47,170","55,385",69.3,434.6,37.5,0.2,0.1,0.8,50.1,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,11.3,3.7,243,"6,006",2.3,"1,825",154,"4,029","4,120",2.7
2018-2019,NILLUMBIK SHIRE COUNCIL,"63,450",22026,22026,Fortnightly,8059.0,22026.0,Weekly,Yes,6234.0,146.8,42.3,64.9,"59,749","74,166",74.4,"3,054.30",42.6,0.8,0.6,1.0,50.1,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,16.3,9.6,-648,"20,912",2.9,"3,078",232,"17,601","18,028",3.1
2019-2020,NILLUMBIK SHIRE COUNCIL,"63,450",22100,22100,Fortnightly,9132.0,22100.0,Weekly,Yes,8135.0,146.8,42.3,64.9,"59,749","74,166",74.4,"3,054.30",42.6,0.8,0.6,1.0,50.1,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,16.3,9.6,-648,"20,912",2.9,"3,078",232,"17,601","18,028",3.1
2020-2021,NILLUMBIK SHIRE COUNCIL,"63,450",22772,22272,Fortnightly,6758.0,22772.0,Weekly,Yes,10901.0,146.8,42.3,64.9,"59,749","74,166",74.4,"3,054.30",42.6,0.8,0.6,1.0,50.1,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,16.3,9.6,-648,"20,912",2.9,"3,078",232,"17,601","18,028",3.1
2021-2022,NILLUMBIK SHIRE COUNCIL,"63,450",22229,22299,Fortnightly,8530.0,22299.0,Weekly,Yes,10670.0,146.8,42.3,64.9,"59,749","74,166",74.4,"3,054.30",42.6,0.8,0.6,1.0,50.1,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,16.3,9.6,-648,"20,912",2.9,"3,078",232,"17,601","18,028",3.1
2022-2023,NILLUMBIK SHIRE COUNCIL,"63,450",18626,21960,Fortnightly,6538.0,21960.0,Weekly,Yes,10717.0,146.8,42.3,64.9,"59,749","74,166",74.4,"3,054.30",42.6,0.8,0.6,1.0,50.1,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,16.3,9.6,-648,"20,912",2.9,"3,078",232,"17,601","18,028",3.1
2018-2019,NORTHERN GRAMPIANS SHIRE COUNCIL,"11,886",5908,5908,Weekly,3500.0,,,,,2.1,49.1,58.4,"46,352","50,599",71.9,345.2,43.3,0.4,0.4,0.5,44.2,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,9.2,5.4,-13,"4,903",2.2,"1,724",139,"3,038","3,084",2.7
2019-2020,NORTHERN GRAMPIANS SHIRE COUNCIL,"11,886",5918,5901,Weekly,2607.0,,,,,2.1,49.1,58.4,"46,352","50,599",71.9,345.2,43.3,0.4,0.4,0.5,44.2,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,9.2,5.4,-13,"4,903",2.2,"1,724",139,"3,038","3,084",2.7
2020-2021,NORTHERN GRAMPIANS SHIRE COUNCIL,"11,886",7173,5920,Weekly,2735.0,,,,,2.1,49.1,58.4,"46,352","50,599",71.9,345.2,43.3,0.4,0.4,0.5,44.2,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,9.2,5.4,-13,"4,903",2.2,"1,724",139,"3,038","3,084",2.7
2021-2022,NORTHERN GRAMPIANS SHIRE COUNCIL,"11,886",6651,4540,Weekly,2796.13,,,,,2.1,49.1,58.4,"46,352","50,599",71.9,345.2,43.3,0.4,0.4,0.5,44.2,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,9.2,5.4,-13,"4,903",2.2,"1,724",139,"3,038","3,084",2.7
2022-2023,NORTHERN GRAMPIANS SHIRE COUNCIL,"11,886",4978,5509,Weekly,2822.83,,,,,2.1,49.1,58.4,"46,352","50,599",71.9,345.2,43.3,0.4,0.4,0.5,44.2,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,9.2,5.4,-13,"4,903",2.2,"1,724",139,"3,038","3,084",2.7
2018-2019,PORT PHILLIP CITY COUNCIL,"103,438",70886,39115,Weekly,20700.0,,,,,"5,017.8",38.1,75.3,"63,189","83,434",77.1,"7,066.90",31.7,1.3,2.1,1.7,51.0,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,32.9,21.1,"-2,412","48,731",1.9,"21,347","3,263","24,123","24,252",2.6
2019-2020,PORT PHILLIP CITY COUNCIL,"103,438",71749,39252,Weekly,22684.0,,,,,"5,017.8",38.1,75.3,"63,189","83,434",77.1,"7,066.90",31.7,1.3,2.1,1.7,51.0,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,32.9,21.1,"-2,412","48,731",1.9,"21,347","3,263","24,123","24,252",2.6
2020-2021,PORT PHILLIP CITY COUNCIL,"103,438",72466,39406,Weekly,21257.0,,,,,"5,017.8",38.1,75.3,"63,189","83,434",77.1,"7,066.90",31.7,1.3,2.1,1.7,51.0,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,32.9,21.1,"-2,412","48,731",1.9,"21,347","3,263","24,123","24,252",2.6
2021-2022,PORT PHILLIP CITY COUNCIL,"103,438",66632,36493,Weekly,20319.04,388.0,Fortnightly,Yes,590.22,"5,017.8",38.1,75.3,"63,189","83,434",77.1,"7,066.90",31.7,1.3,2.1,1.7,51.0,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,32.9,21.1,"-2,412","48,731",1.9,"21,347","3,263","24,123","24,252",2.6
2022-2023,PORT PHILLIP CITY COUNCIL,"103,438",67987,39549,Weekly,18543.0,16421.0,Weekly,Yes,1031.0,"5,017.8",38.1,75.3,"63,189","83,434",77.1,"7,066.90",31.7,1.3,2.1,1.7,51.0,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,32.9,21.1,"-2,412","48,731",1.9,"21,347","3,263","24,123","24,252",2.6
2018-2019,PYRENEES SHIRE COUNCIL,"7,619",3657,2777,Weekly,1797.0,1426.0,Monthly,No,240.0,2.2,50.3,58.5,"44,955","50,618",69.6,179.3,40.6,0.1,-,0.4,44.0,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,9.6,2.2,85,"2,976",2.2,938,64,"1,964","2,004",2.7
2019-2020,PYRENEES SHIRE COUNCIL,"7,619",3885,2836,Weekly,1820.27,1444.0,Monthly,No,25.0,2.2,50.3,58.5,"44,955","50,618",69.6,179.3,40.6,0.1,-,0.4,44.0,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,9.6,2.2,85,"2,976",2.2,938,64,"1,964","2,004",2.7
2020-2021,PYRENEES SHIRE COUNCIL,"7,619",3969,2803,Weekly,1852.0,1444.0,Monthly,No,25.0,2.2,50.3,58.5,"44,955","50,618",69.6,179.3,40.6,0.1,-,0.4,44.0,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,9.6,2.2,85,"2,976",2.2,938,64,"1,964","2,004",2.7
2021-2022,PYRENEES SHIRE COUNCIL,"7,619",3116,3727,Fortnightly,1875.0,1700.0,Monthly,Yes,105.0,2.2,50.3,58.5,"44,955","50,618",69.6,179.3,40.6,0.1,-,0.4,44.0,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,9.6,2.2,85,"2,976",2.2,938,64,"1,964","2,004",2.7
2022-2023,PYRENEES SHIRE COUNCIL,"7,619",2089,3750,Weekly,1102.0,1420.0,4 weeks,No,240.0,2.2,50.3,58.5,"44,955","50,618",69.6,179.3,40.6,0.1,-,0.4,44.0,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,9.6,2.2,85,"2,976",2.2,938,64,"1,964","2,004",2.7
2018-2019,QUEENSCLIFFE BOROUGH COUNCIL,"3,236",2861,2861,Weekly,1049.0,2861.0,Fortnightly,No,612.0,375.6,62.6,45.5,"48,817","63,098",51.5,132.4,47.1,0.2,0.5,0.7,42.8,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,10.7,3.4,70,"1,441",2.0,486,17,939,944,2.5
2019-2020,QUEENSCLIFFE BOROUGH COUNCIL,"3,236",2875,2861,Weekly,1184.0,2861.0,Fortnightly,No,709.0,375.6,62.6,45.5,"48,817","63,098",51.5,132.4,47.1,0.2,0.5,0.7,42.8,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,10.7,3.4,70,"1,441",2.0,486,17,939,944,2.5
2020-2021,QUEENSCLIFFE BOROUGH COUNCIL,"3,236",2867,2867,,1048.44,2861.0,,No,,375.6,62.6,45.5,"48,817","63,098",51.5,132.4,47.1,0.2,0.5,0.7,42.8,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,10.7,3.4,70,"1,441",2.0,486,17,939,944,2.5
2021-2022,QUEENSCLIFFE BOROUGH COUNCIL,"3,236",2896,2896,Weekly,1034.0,2896.0,Fortnightly,No,823.15,375.6,62.6,45.5,"48,817","63,098",51.5,132.4,47.1,0.2,0.5,0.7,42.8,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,10.7,3.4,70,"1,441",2.0,486,17,939,944,2.5
2022-2023,QUEENSCLIFFE BOROUGH COUNCIL,"3,236",2821,2888,Fortnightly,743.56,2888.0,Weekly,Yes,1122.05,375.6,62.6,45.5,"48,817","63,098",51.5,132.4,47.1,0.2,0.5,0.7,42.8,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,10.7,3.4,70,"1,441",2.0,486,17,939,944,2.5
2018-2019,SOUTH GIPPSLAND SHIRE COUNCIL,"30,388",15750,11801,Weekly,4224.5,7639.0,Fortnightly,No,2233.2,9.2,48.9,56.9,"45,484","53,099",65.0,892.8,38.7,-,0.2,0.5,51.4,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,11.5,3.9,256,"12,001",2.3,"3,585",240,"8,184","8,329",2.8
2019-2020,SOUTH GIPPSLAND SHIRE COUNCIL,"30,388",14208,12157,Weekly,4395.4,7866.0,Fortnightly,No,2522.2,9.2,48.9,56.9,"45,484","53,099",65.0,892.8,38.7,-,0.2,0.5,51.4,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,11.5,3.9,256,"12,001",2.3,"3,585",240,"8,184","8,329",2.8
2020-2021,SOUTH GIPPSLAND SHIRE COUNCIL,"30,388",14408,12370,Weekly,4628.94,8139.0,Fortnightly,No,2633.64,9.2,48.9,56.9,"45,484","53,099",65.0,892.8,38.7,-,0.2,0.5,51.4,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,11.5,3.9,256,"12,001",2.3,"3,585",240,"8,184","8,329",2.8
2021-2022,SOUTH GIPPSLAND SHIRE COUNCIL,"30,388",14508,11575,Weekly,4657.55,8139.0,Fortnightly,Yes,2685.9,9.2,48.9,56.9,"45,484","53,099",65.0,892.8,38.7,-,0.2,0.5,51.4,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,11.5,3.9,256,"12,001",2.3,"3,585",240,"8,184","8,329",2.8
2022-2023,SOUTH GIPPSLAND SHIRE COUNCIL,"30,388",14754,12825,Weekly,4271.71,8705.0,Fortnightly,No,2711.29,9.2,48.9,56.9,"45,484","53,099",65.0,892.8,38.7,-,0.2,0.5,51.4,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,11.5,3.9,256,"12,001",2.3,"3,585",240,"8,184","8,329",2.8
2018-2019,SOUTHERN GRAMPIANS SHIRE COUNCIL,"16,492",6664,6353,Weekly,2374.0,1272.0,Fortnightly,Yes,505.0,2.5,46.8,57.5,"45,418","49,690",67.6,502.9,50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"6,844",2.2,"2,334",142,"4,365","4,414",2.8
2019-2020,SOUTHERN GRAMPIANS SHIRE COUNCIL,"16,492",7404,6108,Weekly,2480.0,1136.0,Fortnightly,Yes,619.0,2.5,46.8,57.5,"45,418","49,690",67.6,502.9,50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"6,844",2.2,"2,334",142,"4,365","4,414",2.8
2020-2021,SOUTHERN GRAMPIANS SHIRE COUNCIL,"16,492",7315,6456,Weekly,2244.74,6267.0,Fortnightly,Yes,2389.0,2.5,46.8,57.5,"45,418","49,690",67.6,502.9,50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"6,844",2.2,"2,334",142,"4,365","4,414",2.8
2021-2022,SOUTHERN GRAMPIANS SHIRE COUNCIL,"16,492",7374,6610,Fortnightly,2160.0,6373.0,Fortnightly,Yes,2300.0,2.5,46.8,57.5,"45,418","49,690",67.6,502.9,50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"6,844",2.2,"2,334",142,"4,365","4,414",2.8
2022-2023,SOUTHERN GRAMPIANS SHIRE COUNCIL,"16,492",6468,6336,Weekly,2214.7,6419.0,Fortnightly,Yes,2421.0,2.5,46.8,57.5,"45,418","49,690",67.6,502.9,50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"6,844",2.2,"2,334",142,"4,365","4,414",2.8
2018-2019,STONNINGTON CITY COUNCIL,"106,190",57877,57877,Weekly,20650.0,12263.0,Fortnightly,,3309.0,"4,139.8",36.7,71.7,"64,813","90,760",70.3,"8,625.20",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","47,229",2.1,"18,524","3,411","25,295","25,493",2.7
2019-2020,STONNINGTON CITY COUNCIL,"106,190",58797,58797,Weekly,20145.0,12688.0,Fortnightly,Yes,4095.0,"4,139.8",36.7,71.7,"64,813","90,760",70.3,"8,625.20",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","47,229",2.1,"18,524","3,411","25,295","25,493",2.7
2020-2021,STONNINGTON CITY COUNCIL,"106,190",59835,59835,Weekly,20844.0,13678.0,Fortnightly,Yes,4439.0,"4,139.8",36.7,71.7,"64,813","90,760",70.3,"8,625.20",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","47,229",2.1,"18,524","3,411","25,295","25,493",2.7
2021-2022,STONNINGTON CITY COUNCIL,"106,190",60067,60076,Weekly,20722.0,14430.0,Fortnightly,Yes,4749.0,"4,139.8",36.7,71.7,"64,813","90,760",70.3,"8,625.20",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","47,229",2.1,"18,524","3,411","25,295","25,493",2.7
2022-2023,STONNINGTON CITY COUNCIL,"106,190",60055,60318,Weekly,20535.0,15500.0,Fortnightly,Yes,4423.16,"4,139.8",36.7,71.7,"64,813","90,760",70.3,"8,625.20",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","47,229",2.1,"18,524","3,411","25,295","25,493",2.7
2018-2019,STRATHBOGIE SHIRE COUNCIL,"11,368",5902,3885,Fortnightly,1003.14,3865.0,Weekly,Yes,1263.1,3.4,53.3,54.8,"47,188","53,352",67.7,308.1,46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"4,734",2.2,"1,559",112,"3,075","3,119",2.7
2019-2020,STRATHBOGIE SHIRE COUNCIL,"11,368",4510,4132,Fortnightly,1077.0,4510.0,Weekly,Yes,1515.0,3.4,53.3,54.8,"47,188","53,352",67.7,308.1,46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"4,734",2.2,"1,559",112,"3,075","3,119",2.7
2020-2021,STRATHBOGIE SHIRE COUNCIL,"11,368",7063,4211,Fortnightly,1130.82,4247.0,Weekly,Yes,1681.32,3.4,53.3,54.8,"47,188","53,352",67.7,308.1,46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"4,734",2.2,"1,559",112,"3,075","3,119",2.7
2021-2022,STRATHBOGIE SHIRE COUNCIL,"11,368",5280,3430,Fortnightly,1164.2,3368.0,Weekly,Yes,1757.0,3.4,53.3,54.8,"47,188","53,352",67.7,308.1,46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"4,734",2.2,"1,559",112,"3,075","3,119",2.7
2022-2023,STRATHBOGIE SHIRE COUNCIL,"11,368",3772,3800,Fortnightly,1124.62,3800.0,Weekly,Yes,1728.97,3.4,53.3,54.8,"47,188","53,352",67.7,308.1,46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"4,734",2.2,"1,559",112,"3,075","3,119",2.7
2018-2019,SURF COAST SHIRE COUNCIL,"37,648",17226,17226,Weekly,6489.0,17226.0,Fortnightly,No,3051.0,24.2,42.3,60.7,"53,102","66,383",67.5,"1,552.50",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","13,270",2.6,"2,828",408,"10,041","10,195",3.0
2019-2020,SURF COAST SHIRE COUNCIL,"37,648",17868,17868,Weekly,6641.0,17868.0,Fortnightly,Yes,3806.0,24.2,42.3,60.7,"53,102","66,383",67.5,"1,552.50",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","13,270",2.6,"2,828",408,"10,041","10,195",3.0
2020-2021,SURF COAST SHIRE COUNCIL,"37,648",18275,18275,Fortnightly,6279.0,18275.0,Fortnightly,Yes,5754.0,24.2,42.3,60.7,"53,102","66,383",67.5,"1,552.50",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","13,270",2.6,"2,828",408,"10,041","10,195",3.0
2021-2022,SURF COAST SHIRE COUNCIL,"37,648",18593,18593,Fortnightly,5264.0,18627.0,Weekly,Yes,8434.0,24.2,42.3,60.7,"53,102","66,383",67.5,"1,552.50",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","13,270",2.6,"2,828",408,"10,041","10,195",3.0
2022-2023,SURF COAST SHIRE COUNCIL,"37,648",18551,20492,Fortnightly,4557.0,20492.0,Weekly,Yes,8350.0,24.2,42.3,60.7,"53,102","66,383",67.5,"1,552.50",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","13,270",2.6,"2,828",408,"10,041","10,195",3.0
2018-2019,SWAN HILL RURAL CITY COUNCIL,"158,689",8497,8497,Weekly,3931.72,1042.0,Fortnightly,,336.86,152.1,34.9,66.8,"40,397","45,544",75.1,664,41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","7,718",2.5,"2,150",336,"5,228","5,326",2.9
2019-2020,SWAN HILL RURAL CITY COUNCIL,"158,689",8758,8544,Weekly,5202.0,1134.0,Fortnightly,,362.0,152.1,34.9,66.8,"40,397","45,544",75.1,664,41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","7,718",2.5,"2,150",336,"5,228","5,326",2.9
2020-2021,SWAN HILL RURAL CITY COUNCIL,"158,689",8596,8596,Weekly,4715.0,1296.0,Fortnightly,,436.0,152.1,34.9,66.8,"40,397","45,544",75.1,664,41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","7,718",2.5,"2,150",336,"5,228","5,326",2.9
2021-2022,SWAN HILL RURAL CITY COUNCIL,"158,689",8062,8524,Weekly,4949.0,1474.0,Fortnightly,No,547.0,152.1,34.9,66.8,"40,397","45,544",75.1,664,41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","7,718",2.5,"2,150",336,"5,228","5,326",2.9
2022-2023,SWAN HILL RURAL CITY COUNCIL,"158,689",7206,8739,Weekly,5392.89,1584.0,Fortnightly,No,614.0,152.1,34.9,66.8,"40,397","45,544",75.1,664,41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","7,718",2.5,"2,150",336,"5,228","5,326",2.9
2018-2019,TOWONG SHIRE COUNCIL,"6,186",4107,3044,Weekly,1900.0,,,,,0.9,51.8,56.1,"45,840","52,398",64.4,192.7,48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"2,406",2.2,712,39,"1,655","1,679",2.7
2019-2020,TOWONG SHIRE COUNCIL,"6,186",2960,2963,Weekly,1900.0,,,,,0.9,51.8,56.1,"45,840","52,398",64.4,192.7,48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"2,406",2.2,712,39,"1,655","1,679",2.7
2020-2021,TOWONG SHIRE COUNCIL,"6,186",2740,2740,Weekly,1900.0,,,,,0.9,51.8,56.1,"45,840","52,398",64.4,192.7,48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"2,406",2.2,712,39,"1,655","1,679",2.7
2021-2022,TOWONG SHIRE COUNCIL,"6,186",1675,2890,Weekly,1212.81,,,,,0.9,51.8,56.1,"45,840","52,398",64.4,192.7,48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"2,406",2.2,712,39,"1,655","1,679",2.7
2022-2023,TOWONG SHIRE COUNCIL,"6,186",1713,3041,Weekly,1198.0,,,,,0.9,51.8,56.1,"45,840","52,398",64.4,192.7,48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"2,406",2.2,712,39,"1,655","1,679",2.7
2018-2019,WANGARATTA RURAL CITY COUNCIL,"29,751",14237,14749,Fortnightly,4718.28,8805.0,Weekly,Yes,3738.46,8.2,45.3,58.7,"49,046","54,466",74.8,915.3,48.3,0.2,0.6,0.8,42.0,0.8,3.3,1.4,0.1,1.3,0.3,1.0,0.4,0.4,9.0,5.2,192,"11,847",2.3,"3,645",275,"7,927","8,054",2.9
