financial_year_waste,council,population,premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2022-2023,CENTRAL GOLDFIELDS SHIRE COUNCIL,13626,6593,6313,Weekly,2410.43,2038,twice monthly,Yes,719,8.7,52.2,54.6,"43,801","47,723",74.5,271.8,44.2,0.1,0.3,0.5,45,1,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3,138,"5,774",2.1,"2,136",155,"3,483","3,540",2.7
2018-2019,COLAC OTWAY SHIRE COUNCIL,21000,13608,9979,Weekly,5164.97,9979,Fortnightly,Yes,2557.51,6.5,45.3,59.6,"45,992","50,431",72.1,681.7,43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1,1.7,0.9,0.3,0.3,10.3,5.8,-113,"8,848",2.3,"2,864",290,"5,690","5,774",2.9
2019-2020,COLAC OTWAY SHIRE COUNCIL,21000,13608,10111,Weekly,5325.76,10111,Fortnightly,Yes,3119.08,6.5,45.3,59.6,"45,992","50,431",72.1,681.7,43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1,1.7,0.9,0.3,0.3,10.3,5.8,-113,"8,848",2.3,"2,864",290,"5,690","5,774",2.9
2020-2021,COLAC OTWAY SHIRE COUNCIL,21000,10265,10265,Weekly,4065,10265,Fortnightly,Yes,3327,6.5,45.3,59.6,"45,992","50,431",72.1,681.7,43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1,1.7,0.9,0.3,0.3,10.3,5.8,-113,"8,848",2.3,"2,864",290,"5,690","5,774",2.9
2021-2022,COLAC OTWAY SHIRE COUNCIL,22470,12444,10598,Weekly,4114,10598,Fortnightly,Yes,3091,6.5,45.3,59.6,"45,992","50,431",72.1,681.7,43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1,1.7,0.9,0.3,0.3,10.3,5.8,-113,"8,848",2.3,"2,864",290,"5,690","5,774",2.9
2022-2023,COLAC OTWAY SHIRE COUNCIL,22345,11237,10600,Weekly,3907,10600,Fortnightly,Yes,3160,6.5,45.3,59.6,"45,992","50,431",72.1,681.7,43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1,1.7,0.9,0.3,0.3,10.3,5.8,-113,"8,848",2.3,"2,864",290,"5,690","5,774",2.9
2018-2019,CORANGAMITE SHIRE COUNCIL,16140,4743,4743,Weekly,1785,4743,Fortnightly,Yes,1759,3.6,47.7,58.9,"45,175","50,210",65.2,516.9,48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"6,343",2.3,"1,930",164,"4,251","4,309",2.9
2019-2020,CORANGAMITE SHIRE COUNCIL,16104,4788,4788,Weekly,1814,4788,Fortnightly,Yes,2044,3.6,47.7,58.9,"45,175","50,210",65.2,516.9,48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"6,343",2.3,"1,930",164,"4,251","4,309",2.9
2020-2021,CORANGAMITE SHIRE COUNCIL,16140,4801,4801,Weekly,1929,4801,Fortnightly,Yes,2180,3.6,47.7,58.9,"45,175","50,210",65.2,516.9,48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"6,343",2.3,"1,930",164,"4,251","4,309",2.9
2021-2022,CORANGAMITE SHIRE COUNCIL,16115,6494,4889,Weekly,1872,4889,Fortnightly,Yes,2085,3.6,47.7,58.9,"45,175","50,210",65.2,516.9,48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"6,343",2.3,"1,930",164,"4,251","4,309",2.9
2022-2023,CORANGAMITE SHIRE COUNCIL,15898,5972,5563,Weekly,1955,5563,Weekly,Yes,2074,3.6,47.7,58.9,"45,175","50,210",65.2,516.9,48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"6,343",2.3,"1,930",164,"4,251","4,309",2.9
2018-2019,DAREBIN CITY COUNCIL,161609,66010,66010,Weekly,25826,39438,Fortnightly,,11468,"2,810.80",37.3,70.4,"56,652","67,788",81.2,"6,279.10",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","59,488",2.4,"18,201","4,215","37,065","37,717",2.9
2019-2020,DAREBIN CITY COUNCIL,164184,67051,61464,Weekly,25957.12,35856,Fortnightly,Yes,13196,"2,810.80",37.3,70.4,"56,652","67,788",81.2,"6,279.10",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","59,488",2.4,"18,201","4,215","37,065","37,717",2.9
2020-2021,DAREBIN CITY COUNCIL,173386,68461,63645,Weekly,19275.61,38974,Fortnightly,Yes,18684.88,"2,810.80",37.3,70.4,"56,652","67,788",81.2,"6,279.10",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","59,488",2.4,"18,201","4,215","37,065","37,717",2.9
2021-2022,DAREBIN CITY COUNCIL,164184,68461,61747,Weekly,25360.42,63325,Fortnightly,Yes,13534,"2,810.80",37.3,70.4,"56,652","67,788",81.2,"6,279.10",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","59,488",2.4,"18,201","4,215","37,065","37,717",2.9
2022-2023,DAREBIN CITY COUNCIL,160623,67875,63495,Weekly,24220,63553,Fortnightly,Yes,14557.8,"2,810.80",37.3,70.4,"56,652","67,788",81.2,"6,279.10",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","59,488",2.4,"18,201","4,215","37,065","37,717",2.9
2018-2019,EAST GIPPSLAND SHIRE COUNCIL,47000,26000,19965,Weekly,6776,15392,Fortnightly,No,4000,2.3,51.9,54.4,"43,752","50,654",70.4,"1,249.40",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4,846,"19,771",2.2,"6,212",496,"13,063","13,282",2.7
2019-2020,EAST GIPPSLAND SHIRE COUNCIL,47000,27180,20037,Weekly,7816.14,16820,Fortnightly,No,4486.8,2.3,51.9,54.4,"43,752","50,654",70.4,"1,249.40",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4,846,"19,771",2.2,"6,212",496,"13,063","13,282",2.7
2020-2021,EAST GIPPSLAND SHIRE COUNCIL,47000,27373,20592,Weekly,8658.5,17404,Fortnightly,No,4997.2,2.3,51.9,54.4,"43,752","50,654",70.4,"1,249.40",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4,846,"19,771",2.2,"6,212",496,"13,063","13,282",2.7
2021-2022,EAST GIPPSLAND SHIRE COUNCIL,48500,27993,21380,Weekly,9294,16875,Fortnightly,No,5651.21,2.3,51.9,54.4,"43,752","50,654",70.4,"1,249.40",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4,846,"19,771",2.2,"6,212",496,"13,063","13,282",2.7
2022-2023,EAST GIPPSLAND SHIRE COUNCIL,49412,24065,21874,Weekly,8164.97,17282,Fortnightly,No,4717.72,2.3,51.9,54.4,"43,752","50,654",70.4,"1,249.40",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4,846,"19,771",2.2,"6,212",496,"13,063","13,282",2.7
2018-2019,FRANKSTON CITY COUNCIL,142972,60163,55853,Weekly,24796,39789,Fortnightly,,13550,"1,086.60",39,65,"54,633","61,312",81.5,"4,837.50",38.2,0.8,1,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2,1,1.2,21.3,11.3,"-1,533","53,019",2.5,"14,700","1,582","36,737","37,590",3
2019-2020,FRANKSTON CITY COUNCIL,143439,60684,56240,Weekly,24833,41027,Fortnightly,Yes,16298,"1,086.60",39,65,"54,633","61,312",81.5,"4,837.50",38.2,0.8,1,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2,1,1.2,21.3,11.3,"-1,533","53,019",2.5,"14,700","1,582","36,737","37,590",3
2020-2021,FRANKSTON CITY COUNCIL,144031,61267,56635,Weekly,25805,42139,Fortnightly,Yes,17615,"1,086.60",39,65,"54,633","61,312",81.5,"4,837.50",38.2,0.8,1,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2,1,1.2,21.3,11.3,"-1,533","53,019",2.5,"14,700","1,582","36,737","37,590",3
2021-2022,FRANKSTON CITY COUNCIL,142147,61250,56880,Weekly,25777,43191,Fortnightly,Yes,17792,"1,086.60",39,65,"54,633","61,312",81.5,"4,837.50",38.2,0.8,1,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2,1,1.2,21.3,11.3,"-1,533","53,019",2.5,"14,700","1,582","36,737","37,590",3
2022-2023,FRANKSTON CITY COUNCIL,144446,56782,57130,Weekly,24545,45090,Fortnightly,Yes,17405,"1,086.60",39,65,"54,633","61,312",81.5,"4,837.50",38.2,0.8,1,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2,1,1.2,21.3,11.3,"-1,533","53,019",2.5,"14,700","1,582","36,737","37,590",3
2018-2019,GANNAWARRA SHIRE COUNCIL,10547,6736,5174,Weekly,2142,992,Fortnightly,No,451,2.8,51.4,54.6,"43,187","47,237",65.8,270.5,48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"4,359",2.2,"1,447",100,"2,806","2,842",2.8
2019-2020,GANNAWARRA SHIRE COUNCIL,10472,6864,5216,Weekly,2321,992,Fortnightly,No,497,2.8,51.4,54.6,"43,187","47,237",65.8,270.5,48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"4,359",2.2,"1,447",100,"2,806","2,842",2.8
2020-2021,GANNAWARRA SHIRE COUNCIL,10459,4766,5253,Weekly,2537,1174,Fortnightly,,565,2.8,51.4,54.6,"43,187","47,237",65.8,270.5,48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"4,359",2.2,"1,447",100,"2,806","2,842",2.8
2021-2022,GANNAWARRA SHIRE COUNCIL,10549,4783,4193,Weekly,2374,1174,Fortnightly,No,614,2.8,51.4,54.6,"43,187","47,237",65.8,270.5,48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"4,359",2.2,"1,447",100,"2,806","2,842",2.8
2022-2023,GANNAWARRA SHIRE COUNCIL,10309,3867,4229,Weekly,2176.03,1440,Fortnightly,No,495,2.8,51.4,54.6,"43,187","47,237",65.8,270.5,48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"4,359",2.2,"1,447",100,"2,806","2,842",2.8
2018-2019,GLEN EIRA CITY COUNCIL,154000,63315,58082,Weekly,27933,45000,Fortnightly,Yes,11373,"3,893.40",38.2,66.4,"59,228","76,465",73.2,"7,755.20",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2,2.9,36.3,30.9,"-1,387","57,971",2.5,"16,293","2,596","39,078","39,585",3
2019-2020,GLEN EIRA CITY COUNCIL,156511,64910,57582,Weekly,28000,45000,Fortnightly,Yes,14000,"3,893.40",38.2,66.4,"59,228","76,465",73.2,"7,755.20",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2,2.9,36.3,30.9,"-1,387","57,971",2.5,"16,293","2,596","39,078","39,585",3
2020-2021,GLEN EIRA CITY COUNCIL,158216,65916,56962,Weekly,28555.24,45800,Fortnightly,Yes,14862.96,"3,893.40",38.2,66.4,"59,228","76,465",73.2,"7,755.20",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2,2.9,36.3,30.9,"-1,387","57,971",2.5,"16,293","2,596","39,078","39,585",3
2021-2022,GLEN EIRA CITY COUNCIL,150685,66563,66091,Fortnightly,20895,47290,Weekly,Yes,20817,"3,893.40",38.2,66.4,"59,228","76,465",73.2,"7,755.20",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2,2.9,36.3,30.9,"-1,387","57,971",2.5,"16,293","2,596","39,078","39,585",3
2022-2023,GLEN EIRA CITY COUNCIL,161714,66802,57827,Fortnightly,20619.72,47740,Weekly,Yes,19758.12,"3,893.40",38.2,66.4,"59,228","76,465",73.2,"7,755.20",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2,2.9,36.3,30.9,"-1,387","57,971",2.5,"16,293","2,596","39,078","39,585",3
2018-2019,GLENELG SHIRE COUNCIL,19665,9950,7590,Weekly,3473.08,,,,,3.2,48.9,59,"48,634","55,185",73.8,617.9,42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"8,190",2.2,"2,588",205,"5,396","5,483",2.7
2019-2020,GLENELG SHIRE COUNCIL,19674,9950,7745,Weekly,3420,,,,,3.2,48.9,59,"48,634","55,185",73.8,617.9,42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"8,190",2.2,"2,588",205,"5,396","5,483",2.7
2020-2021,GLENELG SHIRE COUNCIL,19777,9950,7821,Weekly,3482.81,,,,,3.2,48.9,59,"48,634","55,185",73.8,617.9,42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"8,190",2.2,"2,588",205,"5,396","5,483",2.7
2021-2022,GLENELG SHIRE COUNCIL,19777,10145,7731,Weekly,3646,,,,,3.2,48.9,59,"48,634","55,185",73.8,617.9,42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"8,190",2.2,"2,588",205,"5,396","5,483",2.7
2022-2023,GLENELG SHIRE COUNCIL,19995,8721,8161,Weekly,3903,,,,,3.2,48.9,59,"48,634","55,185",73.8,617.9,42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"8,190",2.2,"2,588",205,"5,396","5,483",2.7
2018-2019,GOLDEN PLAINS SHIRE COUNCIL,23120,8327,8327,Fortnightly,4416,,,,,9.2,39.4,62.7,"53,822","60,672",77.9,856,42.3,0.2,0.1,0.4,49.9,1,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3,382,"8,287",2.9,"1,369",117,"6,801","6,984",3.1
2019-2020,GOLDEN PLAINS SHIRE COUNCIL,23722,8548,8548,Fortnightly,5527,,,,,9.2,39.4,62.7,"53,822","60,672",77.9,856,42.3,0.2,0.1,0.4,49.9,1,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3,382,"8,287",2.9,"1,369",117,"6,801","6,984",3.1
2020-2021,GOLDEN PLAINS SHIRE COUNCIL,24249,8812,8812,Fortnightly,4882,,,,,9.2,39.4,62.7,"53,822","60,672",77.9,856,42.3,0.2,0.1,0.4,49.9,1,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3,382,"8,287",2.9,"1,369",117,"6,801","6,984",3.1
2021-2022,GOLDEN PLAINS SHIRE COUNCIL,24879,8515,9070,Fortnightly,5005,,,,,9.2,39.4,62.7,"53,822","60,672",77.9,856,42.3,0.2,0.1,0.4,49.9,1,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3,382,"8,287",2.9,"1,369",117,"6,801","6,984",3.1
2022-2023,GOLDEN PLAINS SHIRE COUNCIL,26301,8723,9101,Fortnightly,5026,,,,,9.2,39.4,62.7,"53,822","60,672",77.9,856,42.3,0.2,0.1,0.4,49.9,1,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3,382,"8,287",2.9,"1,369",117,"6,801","6,984",3.1
2018-2019,GREATER BENDIGO CITY COUNCIL,116045,49821,49553,Weekly,22422,40001,Fortnightly,Yes,10348,40.4,39.7,61.6,"51,481","57,741",78.5,"3,716.50",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","46,599",2.4,"13,374","1,555","31,673","32,281",2.9
2019-2020,GREATER BENDIGO CITY COUNCIL,118093,49596,49596,Weekly,24810.8,40091,Fortnightly,Yes,13248,40.4,39.7,61.6,"51,481","57,741",78.5,"3,716.50",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","46,599",2.4,"13,374","1,555","31,673","32,281",2.9
2020-2021,GREATER BENDIGO CITY COUNCIL,121221,51531,51051,Weekly,24102,43399,Fortnightly,Yes,14800,40.4,39.7,61.6,"51,481","57,741",78.5,"3,716.50",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","46,599",2.4,"13,374","1,555","31,673","32,281",2.9
2021-2022,GREATER BENDIGO CITY COUNCIL,121221,52606,52459,Weekly,26040.23,44756,Fortnightly,Yes,13398.96,40.4,39.7,61.6,"51,481","57,741",78.5,"3,716.50",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","46,599",2.4,"13,374","1,555","31,673","32,281",2.9
2022-2023,GREATER BENDIGO CITY COUNCIL,125604,52196,52532,Weekly,25935,44307,Fortnightly,Yes,15010.44,40.4,39.7,61.6,"51,481","57,741",78.5,"3,716.50",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","46,599",2.4,"13,374","1,555","31,673","32,281",2.9
2018-2019,GREATER DANDENONG CITY COUNCIL,168927,55368,54423,Weekly,29222.24,46029,Fortnightly,,12346.46,"1,235.80",36.2,67.2,"44,670","49,203",80.8,"4,230.00",33.4,14.2,5.1,15.9,21,2.1,2,6.5,2.5,21.4,4,16.7,0.9,2,58.1,64.4,"-4,396","51,670",2.9,"11,502","2,542","37,633","39,906",3.1
2019-2020,GREATER DANDENONG CITY COUNCIL,170378,57122,57122,Weekly,30313.36,45879,Fortnightly,,15161.17,"1,235.80",36.2,67.2,"44,670","49,203",80.8,"4,230.00",33.4,14.2,5.1,15.9,21,2.1,2,6.5,2.5,21.4,4,16.7,0.9,2,58.1,64.4,"-4,396","51,670",2.9,"11,502","2,542","37,633","39,906",3.1
2020-2021,GREATER DANDENONG CITY COUNCIL,175000,68395,55531,Weekly,31342.32,46357,Fortnightly,Yes,15445,"1,235.80",36.2,67.2,"44,670","49,203",80.8,"4,230.00",33.4,14.2,5.1,15.9,21,2.1,2,6.5,2.5,21.4,4,16.7,0.9,2,58.1,64.4,"-4,396","51,670",2.9,"11,502","2,542","37,633","39,906",3.1
2021-2022,GREATER DANDENONG CITY COUNCIL,160171,47246,55439,Weekly,30166,46357,Fortnightly,Yes,15112,"1,235.80",36.2,67.2,"44,670","49,203",80.8,"4,230.00",33.4,14.2,5.1,15.9,21,2.1,2,6.5,2.5,21.4,4,16.7,0.9,2,58.1,64.4,"-4,396","51,670",2.9,"11,502","2,542","37,633","39,906",3.1
2022-2023,GREATER DANDENONG CITY COUNCIL,168168,56212,55659,Weekly,31550,44527,Fortnightly,Yes,14183,"1,235.80",36.2,67.2,"44,670","49,203",80.8,"4,230.00",33.4,14.2,5.1,15.9,21,2.1,2,6.5,2.5,21.4,4,16.7,0.9,2,58.1,64.4,"-4,396","51,670",2.9,"11,502","2,542","37,633","39,906",3.1
2018-2019,GREATER GEELONG CITY COUNCIL,252217,110037,110037,Weekly,45000,110037,Fortnightly,No,36000,217.1,39.2,63,"52,125","60,938",77.5,"9,307.10",44,1.5,1.3,1,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","103,508",2.4,"28,649","3,926","70,933","72,099",2.9
2019-2020,GREATER GEELONG CITY COUNCIL,258934,113358,113358,Weekly,52232,113358,Fortnightly,No,39369,217.1,39.2,63,"52,125","60,938",77.5,"9,307.10",44,1.5,1.3,1,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","103,508",2.4,"28,649","3,926","70,933","72,099",2.9
2020-2021,GREATER GEELONG CITY COUNCIL,264866,114697,114697,Weekly,56093,114697,Fortnightly,No,39633,217.1,39.2,63,"52,125","60,938",77.5,"9,307.10",44,1.5,1.3,1,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","103,508",2.4,"28,649","3,926","70,933","72,099",2.9
2021-2022,GREATER GEELONG CITY COUNCIL,275000,124000,121500,Weekly,56250,121400,Fortnightly,No,41000,217.1,39.2,63,"52,125","60,938",77.5,"9,307.10",44,1.5,1.3,1,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","103,508",2.4,"28,649","3,926","70,933","72,099",2.9
2022-2023,GREATER GEELONG CITY COUNCIL,288849,117474,122000,Weekly,56288,122000,Fortnightly,No,39710,217.1,39.2,63,"52,125","60,938",77.5,"9,307.10",44,1.5,1.3,1,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","103,508",2.4,"28,649","3,926","70,933","72,099",2.9
2018-2019,GREATER SHEPPARTON CITY COUNCIL,67958,26027,26848,Weekly,13166.01,22623,Fortnightly,Yes,7097.34,28.3,39.3,61.7,"47,001","52,673",78.8,"2,035.60",45.1,6.4,1.4,1,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1,17.3,17.6,-276,"24,795",2.5,"6,901",783,"17,106","17,523",3
2019-2020,GREATER SHEPPARTON CITY COUNCIL,66498,28934,28934,Weekly,13678,22985,Fortnightly,Yes,9285,28.3,39.3,61.7,"47,001","52,673",78.8,"2,035.60",45.1,6.4,1.4,1,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1,17.3,17.6,-276,"24,795",2.5,"6,901",783,"17,106","17,523",3
2020-2021,GREATER SHEPPARTON CITY COUNCIL,65593,28934,28934,Weekly,13980.11,23049,Fortnightly,Yes,8505.74,28.3,39.3,61.7,"47,001","52,673",78.8,"2,035.60",45.1,6.4,1.4,1,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1,17.3,17.6,-276,"24,795",2.5,"6,901",783,"17,106","17,523",3
2021-2022,GREATER SHEPPARTON CITY COUNCIL,68522,26220,25555,Weekly,14036.05,23767,Fortnightly,Yes,9426.9,28.3,39.3,61.7,"47,001","52,673",78.8,"2,035.60",45.1,6.4,1.4,1,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1,17.3,17.6,-276,"24,795",2.5,"6,901",783,"17,106","17,523",3
2022-2023,GREATER SHEPPARTON CITY COUNCIL,69301,23099,28901,Weekly,13818,24182,Fortnightly,Yes,8313,28.3,39.3,61.7,"47,001","52,673",78.8,"2,035.60",45.1,6.4,1.4,1,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1,17.3,17.6,-276,"24,795",2.5,"6,901",783,"17,106","17,523",3
2018-2019,HEPBURN SHIRE COUNCIL,15500,7248,7367,Weekly,4865,,,,,11.2,51.9,58.1,"47,603","56,990",66.5,495.1,34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1,0.6,14,4.8,150,"6,846",2.2,"2,232",188,"4,425","4,500",2.7
2019-2020,HEPBURN SHIRE COUNCIL,15500,7612,7418,Weekly,4893.01,,,,,11.2,51.9,58.1,"47,603","56,990",66.5,495.1,34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1,0.6,14,4.8,150,"6,846",2.2,"2,232",188,"4,425","4,500",2.7
2020-2021,HEPBURN SHIRE COUNCIL,16157,9000,8295,Weekly,3454,,,,,11.2,51.9,58.1,"47,603","56,990",66.5,495.1,34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1,0.6,14,4.8,150,"6,846",2.2,"2,232",188,"4,425","4,500",2.7
2021-2022,HEPBURN SHIRE COUNCIL,16604,5571,5571,Weekly,3366.29,943,Weekly,Yes,160,11.2,51.9,58.1,"47,603","56,990",66.5,495.1,34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1,0.6,14,4.8,150,"6,846",2.2,"2,232",188,"4,425","4,500",2.7
2022-2023,HEPBURN SHIRE COUNCIL,16764,6950,8029,Weekly,3125.8,943,Weekly,Yes,140,11.2,51.9,58.1,"47,603","56,990",66.5,495.1,34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1,0.6,14,4.8,150,"6,846",2.2,"2,232",188,"4,425","4,500",2.7
2018-2019,HINDMARSH SHIRE COUNCIL,5721,2417,2535,Weekly,1544,,,,,0.8,50.1,57.3,"46,797","49,409",63.9,193,53,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"2,367",2.2,794,71,"1,499","1,516",2.8
2019-2020,HINDMARSH SHIRE COUNCIL,5725,2417,2770,Weekly,1244,,,,,0.8,50.1,57.3,"46,797","49,409",63.9,193,53,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"2,367",2.2,794,71,"1,499","1,516",2.8
2020-2021,HINDMARSH SHIRE COUNCIL,5725,2417,2770,Weekly,1234,,,,,0.8,50.1,57.3,"46,797","49,409",63.9,193,53,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"2,367",2.2,794,71,"1,499","1,516",2.8
